username,comment,date
f*****9,"Quality:extraordinary

First try sudah memang bagus bunyi dia. Bass dia pun best la. Excited sangat dah ni nak guna time kerja. Tak lah bosan sangat kat ofis kn. Boleh try beli la",2023-11-24 08:35:05
d*****n,"Performance:long lasting battery,
Quality:nice

Delivery within a week, so ok la kan..sangat senang nak connect, bateri tahan lama, dia tak la sensitif sgt so , pusing atas katil kiri kanan ke, kena anak tudung ke takpe sebb x cepat disconnected, melekat kat telinga pun nice je, bass and sound dia surprisingly very good utk harga less than rm10...cuma packaging je risau takde kotak😂",2024-01-09 11:48:24
hafizaiman123,"Performance:nice wajib beli
Quality:quality nice. x ringan mcm yg harga kat tt shop tu. yg ni nmpk la quality tu pegang pun dah tahu

Kalau nk beli untuk buat kerja sambil layan lagu baik beli yg ni. Bass dia pun ok. Bateri tahan lama",2023-12-17 14:22:32
andy_dino,"Performance:Not bad at all.
Quality:Quite Good, I'm impressed.

Quite good for a really low price Bluetooth earphones.
Once you set the Equilizer for your music player, it can sound good. Very worth it for being such a low price.",2023-11-18 17:20:39
cahyafadzilah,"Performance:Sound very good
Quality:Good and high quality material

High quality with affordable price i got only RM7.++ so cheap and the quality is the best. Gud job Redmi!!!!!",2023-09-20 20:31:52
syazli,"Quality:very good for the price

Sounds good. Wouldn't expect it for the price. Money well spent. Postage from china took around a week or so. Only thing is this one doesn't come with a box so it's cheaper.",2024-02-01 19:37:33
v*****g,"Quality:TERBAIKKKKK
Performance:BUNYI BASS KUAT

TERBAIK .. memang sound dia kuat . bass dia pun okay … hargaaa pun murah gilaa . sesuai laaaa harga … boleh cuba cuba beli",2023-07-06 14:46:16
selva14,"Performance:decent
Quality:good

Not bad for the prize. Infact it sounds good i just received it so hope the battery life is good. Thank you seller",2024-02-24 16:46:09
lokmanhakim595,"Performance:no bass yoo, just normal sound
Quality:good

Item soo soo.
But its ok. 
I like it.
The price is good. 
Very recomended to buy yoo.
Must buy.
I hope it have bass.
Must improve the sound more yoo.
Dont know the bbatery is full or nil, coz it dont have screen to tell.",2023-04-02 11:35:38
saifulnizam941,"Quality:tip top
Performance:sound dia sedap gila

Penghantaran pantas, berkualiti, ambil masa tak smpai seminggu, boleh beli, murah, mantap, harap tahan lama, terima kasih, kalau rosak nak repeat lagi, okay bye",2024-03-04 02:24:32
m*****3,"Quality:nice
Performance:good

So far so good,well function too. For this price i didnt expect much anything from this but it does turn out that this product was pretty good actually.The sound was nice. Easy to use too.",2024-03-10 08:27:37
s*****5,"Performance:very good
Quality:good

Barang dah selamat sampai semalam dahh try guna malam tadi ok semua tak ada apa² masalah,bateri pun macam tahan lama bunyi pun kira sedap la juga harga murah,harap² bertahan lama earpod ni",2024-02-03 10:05:21
hyuna124,"Performance:Good
Quality:Ok

Earbuds no problem on both sides.. Medium bass sound.. So far so good.. can accepted and according to price. If you want to buy quality goods, you have to buy expensive ones.. Seller needs to wrap it with carefully.. The airpod Luckily not damaged.. Btw tq seller n courier..",2024-02-15 22:05:31
n*****6,"Performance:GOODDDDDDDDDD
Quality:Nice !!!

I use it almost A month now its still functioning nicely. But dont let it fall down from your ears when youre standing. It will broke But if you take it slowly and not let the wires broke,you can fix it back, But if not, then its broke and you need to buy the new one. So just be careful while use it. Mine is So far So good.",2024-02-20 14:38:55
daieyunkdayangsuhana,"Performance:terbaik
Quality:terbaik

walaupun harga dia RM7 , tp fungsi dia terbaik, main tap2 ja kat earphone tu utk pick up call utk slow down the volume, utk kuatkan semula ... and both earphone ada function dia, cth klu tgok utube,u can easily change the vedio by tapping the earphone . takde manual, semua kena try and error sendiri. nak connect ke fon guna bluetooth ja.",2024-01-24 11:31:17
coffindoll,"Quality:good
Performance:work well

So far puas hati ng earbud nie.. Dri start smpi smpi la nie dh 3 hri x charge lgi. Hehehe... Bunyi pown okey. So far puas hati lah...",2024-03-07 12:42:15
a*****y,"Quality:10/10
Performance:9/10

Cantik dan fast delivery. Tapi tu la haha pakai kena duk elok elok. Kalo ko tengah baring then tibe tibe ko duk mengiring hmmm auto power off 🤣🤣🤣😭😭😭 sensitive mat sensor dia 👺👺👺 Tapi okay la sound baguss",2023-08-04 01:05:34
syeffiq,"Quality:Cantik
Performance:bunyi pun sgt okay

Bass padu 
Lantang dan sangat baik
Bateri pun okay dan jimat tidak cepat habis 
Boleh beli dan berbaloi sangat 
Warna dan jenama sama seperti dalam gambar",2023-10-03 15:44:18
ec3lkz7ftz,"Quality:tip-top
Performance:sangat2 bagus

Dah seminggu guna earphone ni , Harini baru sempat nk bgi feedback . Tapi so far sangat oke , tak menyesal beli 👍🏻 sound clear , bkn jenis earphone yg bunyi slow even volume tinggi . Puas hati sangat2,bateri pon tahan lama setakat ni bru charge 2kali , itu pon guna 4hari tggal 50% je 😃 . Review honest dri saya tq seller ♥️♥️",2023-11-11 20:33:51
k*****t,"Quality:ok
Performance:boleh la pakai

Item sampai dgn jayanya
Tanpa ada masalah dari segi penghantaran
Dibungkus dgn baik juga
Tiada kerosakkan fizikal didapati
Harga berpatutan
Ketahanan penggunaan lebih kurang 4jam utk mendengar muzik",2023-09-02 20:41:19
m*****3,"Quality:nice
Performance:good

So far so good,well function too. For this price i didnt expect much anything from this but it does turn out that this product was pretty good actually.The sound was nice. Easy to use too.",2024-03-10 08:27:37
s*****5,"Performance:very good
Quality:good

Barang dah selamat sampai semalam dahh try guna malam tadi ok semua tak ada apa² masalah,bateri pun macam tahan lama bunyi pun kira sedap la juga harga murah,harap² bertahan lama earpod ni",2024-02-03 10:05:21
hyuna124,"Performance:Good
Quality:Ok

Earbuds no problem on both sides.. Medium bass sound.. So far so good.. can accepted and according to price. If you want to buy quality goods, you have to buy expensive ones.. Seller needs to wrap it with carefully.. The airpod Luckily not damaged.. Btw tq seller n courier..",2024-02-15 22:05:31
n*****6,"Performance:GOODDDDDDDDDD
Quality:Nice !!!

I use it almost A month now its still functioning nicely. But dont let it fall down from your ears when youre standing. It will broke But if you take it slowly and not let the wires broke,you can fix it back, But if not, then its broke and you need to buy the new one. So just be careful while use it. Mine is So far So good.",2024-02-20 14:38:55
daieyunkdayangsuhana,"Performance:terbaik
Quality:terbaik

walaupun harga dia RM7 , tp fungsi dia terbaik, main tap2 ja kat earphone tu utk pick up call utk slow down the volume, utk kuatkan semula ... and both earphone ada function dia, cth klu tgok utube,u can easily change the vedio by tapping the earphone . takde manual, semua kena try and error sendiri. nak connect ke fon guna bluetooth ja.",2024-01-24 11:31:17
coffindoll,"Quality:good
Performance:work well

So far puas hati ng earbud nie.. Dri start smpi smpi la nie dh 3 hri x charge lgi. Hehehe... Bunyi pown okey. So far puas hati lah...",2024-03-07 12:42:15
a*****y,"Quality:10/10
Performance:9/10

Cantik dan fast delivery. Tapi tu la haha pakai kena duk elok elok. Kalo ko tengah baring then tibe tibe ko duk mengiring hmmm auto power off 🤣🤣🤣😭😭😭 sensitive mat sensor dia 👺👺👺 Tapi okay la sound baguss",2023-08-04 01:05:34
syeffiq,"Quality:Cantik
Performance:bunyi pun sgt okay

Bass padu 
Lantang dan sangat baik
Bateri pun okay dan jimat tidak cepat habis 
Boleh beli dan berbaloi sangat 
Warna dan jenama sama seperti dalam gambar",2023-10-03 15:44:18
